OTTOKOD;DETAY;DESİ;
1001-Dore;Büyük Zarf Cüzdan;0,5;
1001-Kahverengi;Büyük Zarf Cüzdan;0,5;
1001-Lame;Büyük Zarf Cüzdan;0,5;
1001-Mor;Büyük Zarf Cüzdan;0,5;
1001-Pembe;Büyük Zarf Cüzdan;0,5;
1001-Siyah;Büyük Zarf Cüzdan;0,5;
1001-Taba;Büyük Zarf Cüzdan;0,5;
1002-Kahverengi;Küçük Zarf Cüzdan;0,5;
1002-Mor;Küçük Zarf Cüzdan;0,5;
1002-Pembe;Küçük Zarf Cüzdan;0,5;
1002-Siyah;Küçük Zarf Cüzdan;0,5;
1002-Taba;Küçük Zarf Cüzdan;0,5;
1003-Taba;Küçük Zarf Cüzdan-ÜRETİLMEYECEK;0,5;
1006-Lacivert/Vizon;Bayan Pofuduk Cüzdan;0,5;
1006-Pembe/Mor;Bayan Pofuduk Cüzdan;0,5;
1006-Taba/Kahverengi;Bayan Pofuduk Cüzdan;0,5;
1007-Lacivert/Vizon;Fermuar Diş Zarf Cüzdan;0,5;
1007-Pembe/Mor;Fermuar Diş Zarf Cüzdan;0,5;
1007-Siyah/Vizon;Fermuar Diş Zarf Cüzdan;0,5;
1007-Taba/Kahverengi;Fermuar Diş Zarf Cüzdan;0,5;
1008-Beyaz;Vejeteryen Cüzdan;0,5;
1008-Kahverengi;Vejeteryen Cüzdan;0,5;
1008-Kırmızı;Vejeteryen Cüzdan;0,5;
1008-Pembe;Vejeteryen Cüzdan;0,5;
1008-Siyah;Vejeteryen Cüzdan;0,5;
1008-Taba;Vejeteryen Cüzdan;0,5;
1009-Kahverengi;Cüzdan Kartlık;0,5;
1009-Pembe;Cüzdan Kartlık;0,5;
1009-Siyah;Cüzdan Kartlık;0,5;
1009-Taba;Cüzdan Kartlık;0,5;
1012-Kahverengi;Kare Bitcoın Cüzdan;0,5;
1012-Siyah;Kare Bitcoın Cüzdan;0,5;
1014-Kahverengi;Dikdörtgen Bitcoın Cüzdan;0,5;
1014-Siyah;Dikdörtgen Bitcoın Cüzdan;0,5;
1016-Kahverengi;Salaş Cüzdan;0,5;
1016-Siyah;Salaş Cüzdan;0,5;
1018-Bordo;Spor Cüzdan;0,5;
1018-Haki;Spor Cüzdan;0,5;
1018-Kahverengi;Spor Cüzdan;0,5;
1018-Mavi;Spor Cüzdan;0,5;
1018-Siyah;Spor Cüzdan;0,5;
1018-Vizon;Spor Cüzdan;0,5;
1020-Siyah;Oduncu Cüzdan;0,5;
1021-Dore;Bayan Mektup Cüzdan;0,5;
1021-Kahverengi;Bayan Mektup Cüzdan;0,5;
1021-Lacivert;Bayan Mektup Cüzdan;0,5;
1021-Mor;Bayan Mektup Cüzdan;0,5;
1021-Pembe;Bayan Mektup Cüzdan;0,5;
1021-Siyah;Bayan Mektup Cüzdan;0,5;
1021-Taba;Bayan Mektup Cüzdan;0,5;
1021-Vizon;Bayan Mektup Cüzdan;0,5;
1023-Lacivert;Fermuar Cepli El Cüzdanı;0,5;
1023-Mor;Fermuar Cepli El Cüzdanı;0,5;
1023-Pembe;Fermuar Cepli El Cüzdanı;0,5;
1023-Siyah;Fermuar Cepli El Cüzdanı;0,5;
1023-Taba;Fermuar Cepli El Cüzdanı;0,5;
1023-Vizon;Fermuar Cepli El Cüzdanı;0,5;
1024-Lacivert;İki Bölümlü Cüzdan;0,5;
1024-Mor;İki Bölümlü Cüzdan;0,5;
1024-Siyah;İki Bölümlü Cüzdan;0,5;
1024-Taba;İki Bölümlü Cüzdan;0,5;
1024-Vizon;İki Bölümlü Cüzdan;0,5;
1026-Bordo;İki Bölümlü Cüzdan;0,5;
1026-Haki;İki Bölümlü Cüzdan;0,5;
1026-Kahverengi;İki Bölümlü Cüzdan;0,5;
1026-Mavi;İki Bölümlü Cüzdan;0,5;
1027-Dore;Kimlik Cüzdan;0,5;
1027-Lacivert;Kimlik Cüzdan;0,5;
1027-Mor;Kimlik Cüzdan;0,5;
1027-Siyah;Kimlik Cüzdan;0,5;
1027-Taba;Kimlik Cüzdan;0,5;
1027-Vizon;Kimlik Cüzdan;0,5;
1028-Lacivert;Pop Art Wallet;0,5;
1028-Mor;Pop Art Wallet;0,5;
1028-Siyah;Pop Art Wallet;0,5;
1028-Taba;Pop Art Wallet;0,5;
1028-Vizon;Pop Art Wallet;0,5;
1030-Bordo;Pop Art Wallet;0,5;
1030-Haki;Pop Art Wallet;0,5;
1030-Kahverengi;Pop Art Wallet;0,5;
1030-Mavi;Pop Art Wallet;0,5;
1037-Kahverengi;Otto Angelino Vintage Grandpa Cüzdan;0,5;
1037-Siyah;Otto Angelino Vintage Grandpa Cüzdan;0,5;
1051-Camel;Bayan Mektup Cüzdan;0,5;
1051-Taba;Bayan Mektup Cüzdan;0,5;
1056-Bordo;Patlı Cüzdan;0,5;
1056-Haki;Patlı Cüzdan;0,5;
1056-Kahverengi;Patlı Cüzdan;0,5;
1056-Mavi;Patlı Cüzdan;0,5;
1056-Siyah;Patlı Cüzdan;0,5;
1056-Vizon;Patlı Cüzdan;0,5;
1060-Bordo;Fermuarlı Cüzdan;0,5;
1060-Haki;Fermuarlı Cüzdan;0,5;
1060-Kahverengi;Fermuarlı Cüzdan;0,5;
1060-Siyah;Fermuarlı Cüzdan;0,5;
1061-Camel;Büyük Zarf Cüzdan (SADECE TR de SATILACAK);0,5;
1062-Camel;Küçük Zarf Cüzdan (SADECE TR de SATILACAK);0,5;
1077-Siyah;Broshield Cüzdan;0,5;
1078-Taba;Broshield Cüzdan;0,5;
2004-Kahverengi;Yan Kartlık-Krako;0,5;
2004-Siyah;Yan Kartlık-Krako;0,5;
2005-Kahverengi;Yan Kartlık-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2005-Kırmızı;Yan Kartlık-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2005-Siyah;Yan Kartlık-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2006-Bordo;Mekanik Kartlık Paralıklı-Rustik Döşemelik;0,5;
2006-Siyah;Mekanik Kartlık Paralıklı-Rustik Döşemelik;0,5;
2006-Taba;Mekanik Kartlık Paralıklı-Rustik Döşemelik;0,5;
2006-Yeşil;Mekanik Kartlık Paralıklı-Rustik Döşemelik;0,5;
2007-Kahverengi;Mekanik Kartlık Paralıklı-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2007-Kırmızı;Mekanik Kartlık Paralıklı-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2007-Siyah;Mekanik Kartlık Paralıklı-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2008-Bordo;Metal Kartlik Sarmalı-Rustik Döşemelik;0,5;
2008-Siyah;Metal Kartlik Sarmalı-Rustik Döşemelik;0,5;
2008-Taba;Metal Kartlik Sarmalı-Rustik Döşemelik;0,5;
2008-Yeşil;Metal Kartlik Sarmalı-Rustik Döşemelik;0,5;
2009-Kahverengi;Metal Kartlik Sarmalı-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2009-Kırmızı;Metal Kartlik Sarmalı-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2009-Siyah;Metal Kartlik Sarmalı-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2010-Mavi;Slim Kartlık-Soho;0,5;
2011-Pembe/Mor;Fermuarlı Kartlık Bozuk Paralıklı;0,5;
2011-Siyah;Fermuarlı Kartlık Bozuk Paralıklı;0,5;
2011-Taba/Kahverengi;Fermuarlı Kartlık Bozuk Paralıklı;0,5;
2012-Bordo;Maşalı Kartlık;0,5;
2012-Haki;Maşalı Kartlık - ESKİ;0,5;
2012-Kahverengi;Maşalı Kartlık;0,5;
2012-Siyah;Maşalı Kartlık;0,5;
2013-Siyah/Kırmızı;Fermuarlı Kartlık Bozuk Paralıklı-Çuval Baskı-ÜRETİLMEYECEK;0,5;
2016-Kahverengi;Minimal Kartlık;0,5;
2016-Mavi;Minimal Kartlık;0,5;
2016-Siyah;Minimal Kartlık;0,5;
2019-Kahverengi;Dilli Kartlık;0,5;
2019-Mavi;Dilli Kartlık;0,5;
2019-Siyah;Dilli Kartlık;0,5;
2021-Mavi/Siyah;Çıtçıtlı Kartlık;0,5;
2021-Siyah/Kahverengi;Çıtçıtlı Kartlık;0,5;
2023-Yeşil;Dik Kartlık;0,5;
2024-Camel;Busıness Kartlık;0,5;
2024-Kırmızı;Busıness Kartlık;0,5;
2024-Oliv;Busıness Kartlık;0,5;
2024-Taba;Busıness Kartlık;0,5;
2025-Bordo;Slim Kartlık;0,5;
2025-Kahverengi;Slim Kartlık;0,5;
2025-Siyah;Slim Kartlık;0,5;
2026-Dore;Yan Kartlık;0,5;
2026-Lame;Yan Kartlık;0,5;
2026-Mor;Yan Kartlık;0,5;
2026-Pembe;Yan Kartlık;0,5;
2026-Siyah;Yan Kartlık;0,5;
2026-Taba;Yan Kartlık;0,5;
2027-Lacivert;Slim Kartlık;0,5;
2027-Mor;Slim Kartlık;0,5;
2027-Taba;Slim Kartlık;0,5;
2028-Dore;Dik Kartlık;0,5;
2028-Lame;Dik Kartlık;0,5;
2028-Mor;Dik Kartlık;0,5;
2028-Pembe;Dik Kartlık;0,5;
2028-Siyah;Dik Kartlık;0,5;
2028-Taba;Dik Kartlık;0,5;
2029-Camel;Slim Kartlık;0,5;
2029-Kırmızı;Slim Kartlık;0,5;
2037-Bordo;Yan Kartlık;0,5;
2037-Kahverengi;Yan Kartlık;0,5;
2037-Siyah;Yan Kartlık;0,5;
2038-Bordo;Körüklü Kartlık;0,5;
2038-Haki;Körüklü Kartlık;0,5;
2038-Kahverengi;Körüklü Kartlık;0,5;
2038-Mavi;Körüklü Kartlık;0,5;
