ASIN;SKU;OTTOKOD;DETAY;DESİ-KG;;INVOICE ÜRÜN BEDELİ;US FEDEX KARGO ÜCRETİ;FEDEX İŞLEM ÜCRETİ;DUTY OTAN;DUTY;VERGİ ORANI;VERGİ
B0748LVYN3;WAL-Mosaic-Clutch;9001;Textil Cluch;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748KDQDG;WAL-MonoDrop-Clutch;9002;Textil Cluch-ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748L8QVD;WAL-BlueDrop-Clutch;9003;Textil Cluch;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748LHVHB;WAL-KnittingPattern-Clutch;9004;Textil Cluch-ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748LHPSQ;WAL-Plum-Clutch;9005;Textil Cluch-ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748KMDJX;WAL-CreamCheckerboard-Clutch;9006;Textil Cluch;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748LJVKG;WAL-BlueCheckerboard-Clutch;9007;Textil Cluch-ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748LSTSF;WAL-PinkCheckerboard-Clutch;9008;Textil Cluch-ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748KP3BM;WAL-SilverCheckerboard-Clutch;9009;Textil Cluch- ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748MD2D5;WAL-Circle-Clutch;9010;Textil Cluch-ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748KKCVK;WAL-BlueAbstract-Clutch;9011;Textil Cluch-Üretilmeyecek;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748L3HF1;WAL-PurpleAbstract-Clutch;9012;Textil Cluch-üretilmeyecek.;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0748LLWL6;WAL-RainbowPattern-Clutch;9013;Textil Cluch;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B0749PNQ16;WAL-MosaicDrop-Clutch;9014;Textil Cluch;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B074MYM9XT;WAL-Ethnic-Clutch;9015;Textil Cluch;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
B07DWLKNM8;OT-WAL-AnatolianZigzag-Clutch;9016;Textil Cluch-ÜRETİLMEYECEK;0,5;;2,00;9,27;1,12;17,6;0,35;15,0;0,30
